xtacle,646853,20,422,36:44.6,11.48,1087,29.58,159,67,11,24
JM1986,443998,20,269,21:26.08,12.54,703,32.79,91,36,6,22
Thor42,436118,18,182,11:58.14,15.20,492,41.10,38,8,4,29
Holymoley,364000,18,186,20:14.52,9.18,495,24.45,47,14,9,21
S_Kakashi,359531,17,170,11:26.06,14.86,453,39.61,43,11,3,24
theking847,359248,16,164,10:38.43,15.41,440,41.35,37,11,3,24
nbken,355333,16,166,12:24.8,13.37,444,35.76,40,9,4,24
nicolaiev,352355,20,234,15:53.43,14.72,615,38.70,44,30,10,25
olli2014,341115,20,205,13:31.93,15.14,545,40.27,58,31,7,16
Lohengrin457,317521,18,183,11:28.87,15.93,490,42.67,50,22,7,17
Nawnim,305874,15,153,12:00.95,12.73,413,34.37,34,14,5,19
oosula1,285396,14,147,11:16.19,13.04,401,35.58,34,13,5,18
Serioza,282916,18,180,12:11.26,14.76,477,39.13,55,22,7,15
Anthony_a,278664,19,95,06:12.62,15.29,274,44.11,28,11,3,9
biggerisbetter,277400,16,166,14:12.36,11.68,436,30.69,45,14,7,18
werking34,272202,19,195,12:59.77,15.00,523,40.24,77,20,10,12
po602,267545,17,175,14:11.83,12.32,466,32.82,67,13,6,16
xbrucehunter,264206,18,186,15:28.02,12.02,498,32.19,53,15,5,22
Artimisin,258741,14,145,11:00.52,13.17,392,35.60,24,17,5,18
cer367,223780,19,197,21:14.12,9.27,520,24.48,67,27,16,7
scholli1960,210289,13,136,10:03.23,13.52,367,36.50,44,14,4,13
baz1992,206936,11,111,07:43.66,14.36,309,39.98,24,12,1,15
cwyost,192223,11,114,13:37.09,8.37,314,23.05,30,10,4,13
sotos1954,157435,9,73,06:59.56,10.43,212,30.31,12,5,1,12
efs002,127450,8,69,05:48.45,11.88,207,35.64,5,6,4,10
Stevee6g,121834,11,119,13:09.42,9.04,328,24.92,26,20,7,8
WCTIV,111576,16,162,15:10.77,10.67,431,28.39,76,26,6,4
meghe,110037,13,130,13:06.66,9.91,356,27.15,36,15,8,10
holderman,98553,19,19,01:10.19,16.24,70,59.84,3,0,0,4
DaKensta,91643,9,41,03:31.48,11.63,137,38.86,10,0,1,7
Mazmo,88063,12,125,11:49.68,10.56,345,29.16,47,17,8,5
Lestetrsz1,87994,9,60,06:29.42,9.24,183,28.19,22,7,0,6
supremeleaderkim,74953,9,90,09:18.94,9.66,257,27.58,31,14,1,7
harvardpy,72433,9,94,10:08.97,9.26,267,26.30,22,11,2,11
MyLifeIsMyLife,62689,9,95,08:57.2,10.61,263,29.37,36,20,5,1
peoplhi,57307,9,31,03:21.57,9.22,108,32.14,2,5,1,4
Arlyn57,56449,10,100,14:21.58,6.96,276,19.22,31,15,5,6
Berto171819,55159,12,120,14:35.37,8.22,325,22.27,89,14,1,0
dgraves27,52640,7,37,08:27.14,4.37,128,15.14,2,2,5,4
nvrsk,52462,12,123,12:18.47,9.99,334,27.13,48,28,5,1
maejudia,50930,7,79,08:35.33,9.19,232,27.01,23,6,4,8
drico2006,50788,11,119,12:33.31,9.47,330,26.28,48,22,5,3
OnlyFreeman,50720,7,73,08:13.79,8.87,213,25.88,16,11,1,8
donandres,45036,8,19,02:33.79,7.41,82,31.99,1,1,0,4
InkyMess,35917,8,86,09:26.59,9.10,245,25.94,30,17,2,4
KabbageKritter,32204,5,57,05:15.5,10.84,177,33.66,13,4,0,9
purkittaja,31916,7,54,04:06.47,13.14,162,39.43,25,8,3,1
shaun106,30874,5,51,05:04.2,10.05,157,30.96,9,2,2,8
HelmutTettenborn,30372,5,53,20:07.46,2.63,161,8.00,10,6,1,7
Martine110,30234,9,94,10:30.96,8.93,261,24.81,36,19,4,2
kittyprincess97,28880,8,39,04:28.64,8.71,124,27.69,13,8,2,1
TheLonelyPotato,27578,9,16,01:55.23,8.33,71,36.96,6,1,0,2
Ginger_bear,26479,6,61,09:58.03,6.12,182,18.26,26,7,3,3
hurgaty_burgaty,23474,7,70,07:14.01,9.67,210,29.03,13,12,7,3
loli345,21071,5,53,08:08.33,6.51,166,20.39,19,8,2,3
monkeybananero,19025,8,20,03:21.38,5.95,70,20.85,7,3,1,1
Bart489,18963,7,71,07:51.2,9.04,211,26.86,26,14,3,2
VidaHeeHo,15058,9,19,02:25.69,7.82,74,30.47,7,0,4,0
Sorkfeber,14063,7,70,08:03.05,8.69,208,25.83,44,13,0,0
Liddlec,13452,9,7,01:29.52,4.69,41,27.47,1,1,0,1
Jack1237,13281,9,6,00:53.41,6.74,39,43.81,0,1,0,1
OOJgamer,12495,5,51,09:32.18,5.34,155,16.25,24,10,1,1
iToomey,12258,9,4,00:48.61,4.93,43,53.07,0,0,0,1
Martineet,12173,4,43,04:29.95,9.55,139,30.89,15,7,2,2
Ryurem,12141,9,4,00:53.76,4.46,36,40.17,0,0,0,1
Mikhaaa,12072,9,4,01:22.04,2.92,37,27.06,0,0,0,1
mikojmikoj,10624,4,15,02:40.02,5.62,60,22.49,1,2,2,1
JerrAth,8801,4,49,07:44.1,6.33,155,20.03,21,11,2,0
NinjaRelsh,8278,3,31,04:21.17,7.12,103,23.66,7,5,2,2
Luna_A,7478,8,14,02:17.14,6.12,63,27.56,5,3,1,0
Jackie_vey,7234,9,9,02:06.03,4.28,50,23.80,3,0,2,0
Roberto898,7197,2,24,03:24.42,7.04,88,25.82,1,4,1,3
bibilariflette,7062,3,38,08:14.92,4.60,124,15.03,15,5,3,1
Wompie,7021,4,42,06:17.52,6.67,133,21.13,15,9,3,0
seoun,6975,2,26,04:36.67,5.63,94,20.38,10,4,0,2
yoooza,6689,2,29,04:19.42,6.70,105,24.28,12,3,1,2
Plankan,6688,1,18,02:51.96,6.28,69,24.07,0,1,0,4
patrickrboyle3,6625,3,33,04:59.11,6.61,111,22.26,18,4,1,1
Cha_Yen_Yum,5931,3,30,05:29.78,5.45,93,16.92,13,5,1,1
Mazdamaniac,5881,3,36,07:35.97,4.73,118,15.52,16,7,2,0
adygr,5287,3,34,04:30.51,7.54,96,21.29,7,9,3,0
rex2015,5222,2,25,04:12.53,5.93,92,21.85,5,3,2,2
Zaky776,5181,2,27,04:49.39,5.59,98,20.31,10,2,3,1
Juul97,4563,1,19,03:18.55,5.74,70,21.15,4,1,3,1
hazelnuttt,4538,8,7,01:26.07,4.87,40,27.88,2,1,1,0
shalalala710,4519,2,28,05:35.77,5.00,101,18.04,12,3,2,1
Cola1000,4268,1,18,02:56.32,6.12,75,25.52,2,1,2,2
Lolwut1,3744,3,31,05:38.36,5.49,95,16.84,22,3,1,0
tseug389,3706,2,28,03:29.43,8.02,100,28.64,9,8,1,0
Chillmanito,3636,7,6,01:34.12,3.82,43,27.41,3,0,1,0
LolliRochefort,3228,2,24,03:15.98,7.34,89,27.24,9,3,3,0
iplaywitpens,3213,1,13,03:21.2,3.87,56,16.69,3,1,0,2
GameZ0ne,3015,2,26,05:18.67,4.89,98,18.45,17,3,1,0
TailZ2_0,2624,2,23,04:35.96,5.00,80,17.39,13,2,2,0
Jo3ynation2o0o,2617,1,17,03:20.15,5.09,75,22.48,1,6,0,1
nikolailinnemann,2310,1,11,02:29.37,4.41,57,22.89,1,0,2,1
G4ndur,2137,1,12,03:10.3,3.78,60,18.91,6,1,0,1
Mkdragonds,2066,1,19,03:40.86,5.16,78,21.19,10,3,1,0
Hulse,1939,0,8,01:43.75,4.62,51,29.49,1,0,1,1
Wyzard125,1887,0,9,02:38.23,3.41,55,20.85,3,1,0,1